Title,Assessment Grade,Size in Bytes,Revisions,Registered Edits,IP Edits,Bot Edits,Unique Editors,Major Edits,Minor Edits,Semi Auto Edits,Reverted Edits,Average Time Between Edits,Average Edits Per User,Average Edits Per Day,Average Edits Per Month,Average Edits Per Year,Edits Made By Top 10
American football,GA,150619,10888,0,4066,346,4615,0,2789,2216,2510,16.799999999999997,2.4,1.7,42.0,503.8,1698
Chicago Marathon,GA,50230,807,0,166,54,330,0,174,62,34,206.39999999999998,2.4,0.1,3.5,42.6,325
Rugby union,GA,152875,8192,0,2984,275,3503,0,1964,1465,1666,24.0,2.3,1.3,31.3,376.0,1818
Major League Soccer,GA,201589,12640,0,4427,262,3936,0,1751,1414,1661,14.399999999999999,3.2,2.1,50.6,607.0,2921
Aztecs,GA,170056,9026,0,3613,258,3692,0,2722,1907,2259,21.6,2.4,1.4,34.7,416.3,1653
Beowulf,GA,97600,7919,0,3049,329,3493,0,2241,1396,1636,24.0,2.3,1.3,30.6,366.7,1302
Elf,GA,89747,3489,0,1115,148,1686,0,996,476,499,55.199999999999996,2.1,0.6,13.5,161.4,805
Bede,GA,87716,2390,0,612,134,1042,0,663,355,328,79.19999999999999,2.3,0.4,9.1,109.6,651
John Wilkes Booth,GA,110692,3785,0,1259,130,1874,0,1074,498,561,50.400000000000006,2.0,0.6,14.6,175.1,576
Bill Nye,GA,74417,4601,0,1766,156,2406,0,1314,1003,1085,38.400000000000006,1.9,0.8,19.2,230.0,409
Astronomy,GA,98949,6252,0,2274,371,3109,0,2091,1421,1710,31.200000000000003,2.0,1.0,24.2,289.8,638
Biology,GA,133293,7307,0,2407,330,3155,0,2768,1474,1757,26.400000000000002,2.3,1.2,28.3,339.1,1545
Sociology,GA,156769,6499,0,2291,306,2729,0,2086,963,1047,28.799999999999997,2.4,1.0,25.1,301.1,1625
University College London,GA,164357,6938,0,2615,254,2153,0,1089,505,535,26.400000000000002,3.2,1.1,27.5,329.8,2068
Homophony,GA,11336,416,0,64,31,159,0,161,36,27,372.0,2.6,0.1,2.0,23.5,212
John Stainer,GA,31096,358,0,118,25,153,0,94,37,10,480.0,2.3,0.1,1.5,18.2,186
Christiaan Huygens,GA,136454,2258,0,676,175,965,0,681,283,246,81.6,2.3,0.4,8.8,106.1,629
Claude Vivier,GA,103575,455,0,92,35,145,0,113,23,8,336.0,3.1,0.1,2.2,26.1,239
Major thirds tuning,GA,35297,709,0,9,23,53,0,147,30,9,127.19999999999999,13.4,0.2,5.7,69.0,655
Desert,GA,112146,6729,0,3049,333,3211,0,2172,1671,1925,28.799999999999997,2.1,1.1,25.8,309.9,800
England,GA,276351,15279,0,4022,380,5711,0,4619,2709,3415,12.0,2.7,2.4,58.8,705.0,1634
Geyser,GA,47410,1729,0,615,140,916,0,569,368,356,108.0,1.9,0.3,6.7,80.7,265
Google Earth,GA,76105,7291,0,2920,331,3719,0,1693,1128,1129,21.6,2.0,1.4,33.8,406.0,893
Johor,GA,218224,2273,0,615,120,875,0,460,194,158,76.80000000000001,2.6,0.4,9.5,113.5,688
Glass,GA,90645,7118,0,2281,351,3062,0,2088,1419,1498,26.400000000000002,2.3,1.1,27.3,327.7,1768
IPhone 6,GA,74300,2913,0,1033,150,1318,0,684,646,668,36.0,2.2,0.8,20.0,240.3,385
Nuclear power,GA,210977,10021,0,2443,337,2796,0,2357,1250,1422,19.200000000000003,3.6,1.6,39.0,468.3,3124
Twitter,GA,302212,8415,0,1315,464,3682,0,2338,989,994,16.799999999999997,2.3,1.8,42.9,515.0,902
PlayStation,GA,180837,4642,0,1670,339,2312,0,1202,1200,1146,28.799999999999997,2.0,1.0,24.6,295.2,634
28 Weeks Later,B,30310,3579,0,1748,80,1925,0,566,367,439,40.8,1.9,0.7,17.6,211.7,414
Batman,B,207343,14776,0,3860,279,5028,0,3371,1530,2371,12.0,2.9,2.4,56.9,682.3,2639
After Earth,B,71307,2003,0,912,116,1129,0,381,269,238,50.400000000000006,1.8,0.6,14.7,176.1,258
Cloverfield,B,91594,8676,0,3522,177,4048,0,1396,1031,1319,16.799999999999997,2.1,1.9,45.5,546.1,1082
Deadpool 2,B,195550,3869,0,1127,115,1373,0,640,620,620,16.799999999999997,2.8,1.7,41.1,493.3,1020
Alligator,B,45738,4014,0,1787,150,2039,0,1056,1029,1125,43.2,2.0,0.7,16.8,201.6,469
Cape cobra,B,21602,331,0,87,36,187,0,89,39,23,456.0,1.8,0.1,1.6,19.2,103
Glass frog,B,23462,669,0,292,66,351,0,197,134,135,232.79999999999998,1.9,0.1,3.1,37.5,162
Horned lizard,B,21109,822,0,370,78,499,0,232,176,184,208.79999999999998,1.6,0.1,3.5,41.7,90
Queen snake,B,15646,299,0,112,28,180,0,94,59,56,520.8,1.7,0.1,1.4,16.8,76
2022 FIFA World Cup,B,253331,7294,0,1214,264,2222,0,1248,1075,1034,19.200000000000003,3.3,1.7,40.4,485.2,1465
ESPN,B,49428,6070,0,2690,206,3214,0,1357,1004,1103,31.200000000000003,1.9,1.0,24.3,291.8,587
Exercise,B,86576,4528,0,1582,241,2156,0,1439,1095,1095,38.400000000000006,2.1,0.8,18.6,223.2,781
Formula One,B,186348,11145,0,4315,373,4876,0,2586,1936,2182,16.799999999999997,2.3,1.8,42.5,509.5,1606
Gymnastics,B,64737,5897,0,2601,398,2953,0,1541,1520,1710,31.200000000000003,2.0,0.9,22.6,271.1,834
Antipope,B,31954,1482,0,479,68,768,0,396,137,135,127.19999999999999,1.9,0.2,5.7,68.5,289
Al-Andalus,B,126744,3618,0,1020,175,1492,0,885,450,546,48.0,2.4,0.6,15.4,184.4,591
Barbaro family,B,65403,1429,0,238,27,190,0,207,58,58,103.19999999999999,7.5,0.3,7.0,84.0,970
Book of Cerne,B,34993,96,0,3,14,67,0,53,14,1,1752.0,1.4,0.0,0.4,5.0,36
Cathedral,B,57783,2069,0,718,117,1038,0,636,355,357,88.80000000000001,2.0,0.3,8.1,97.7,430
Afterlife,B,117992,4732,0,1875,212,2440,0,1112,773,805,40.8,1.9,0.8,18.1,217.5,428
Big data,B,156676,3217,0,987,203,1462,0,823,523,530,36.0,2.2,0.9,20.4,245.2,470
Humanities,B,59988,1957,0,755,165,1157,0,590,306,321,93.6,1.7,0.3,7.7,92.9,184
Cosmogony,B,10118,736,0,144,59,416,0,229,74,51,249.60000000000002,1.8,0.1,2.9,35.0,182
Life,B,159574,5046,0,1315,273,2207,0,1603,737,891,38.400000000000006,2.3,0.8,19.5,233.6,960
Hurrian songs,B,24114,264,0,28,14,91,0,52,30,22,405.59999999999997,2.9,0.1,1.8,21.5,168
Neume,B,31094,337,0,83,48,207,0,129,42,26,487.20000000000005,1.6,0.1,1.5,18.0,77
Music theory,B,118834,3276,0,908,127,1221,0,881,388,425,57.599999999999994,2.7,0.5,12.6,151.7,1268
Music therapy,B,146848,2473,0,912,173,1117,0,698,358,320,72.0,2.2,0.4,10.2,122.9,448
Tritone,B,45050,1210,0,365,41,499,0,343,58,62,148.8,2.4,0.2,4.9,58.7,456
Aida Camp,B,11967,106,0,8,12,53,0,27,7,0,1243.1999999999998,2.0,0.0,0.6,7.0,58
Aegean Sea,B,47203,1439,0,446,105,799,0,459,257,298,134.39999999999998,1.8,0.2,5.4,65.0,224
Essex,B,91650,2637,0,981,141,1322,0,669,414,410,72.0,2.0,0.4,10.2,122.1,435
Chiapas,B,202100,1612,0,448,149,889,0,553,189,142,115.19999999999999,1.8,0.3,6.3,75.7,232
Chocolate Hills,B,24654,877,0,270,73,450,0,255,153,162,196.79999999999998,1.9,0.2,3.7,44.4,184
3D printing,B,172095,5742,0,1604,332,2481,0,1465,1002,963,28.799999999999997,2.3,1.1,25.9,310.7,783
AMD,B,146143,4321,0,1651,246,2092,0,1181,616,607,43.2,2.1,0.7,16.7,199.8,521
IPod,B,88038,13883,0,4868,237,6149,0,3755,1765,2517,12.0,2.3,2.3,55.8,669.8,2014
Google Play,B,128892,3453,0,1051,154,1573,0,853,605,635,28.799999999999997,2.2,1.1,25.6,306.8,687
Amazon (company),B,107165,9556,0,2886,456,4574,0,2332,1516,1428,19.200000000000003,2.1,1.6,38.4,461.0,741
Ahsoka Tano,C,47551,2081,0,851,83,978,0,385,250,247,64.80000000000001,2.1,0.5,11.3,135.5,454
28 Days Later,C,33451,3696,0,1620,109,2014,0,740,350,400,48.0,1.8,0.6,15.0,179.4,537
30 for 30,C,191931,1626,0,365,51,530,0,372,163,117,74.4,3.1,0.4,9.8,118.2,703
42 (film),C,25011,838,0,354,37,520,0,171,136,134,115.19999999999999,1.6,0.3,6.4,76.7,118
A Canterbury Tale,C,24520,539,0,54,33,192,0,182,37,15,328.79999999999995,2.8,0.1,2.2,26.6,281
Reptile,C,136863,4913,0,1630,349,2282,0,1518,1142,1183,38.400000000000006,2.2,0.8,18.7,224.8,763
Axolotl,C,50837,2306,0,679,184,1319,0,731,500,521,76.80000000000001,1.7,0.4,9.6,115.0,232
Canadian toad,C,14341,118,0,11,14,63,0,31,23,10,1236.0,1.9,0.0,0.6,7.1,61
Cacops,C,15349,159,0,20,33,84,0,46,19,5,960.0,1.9,0.0,0.8,9.1,64
Chameleon,C,56545,4068,0,2014,290,2232,0,1246,972,1082,43.2,1.8,0.7,16.6,199.7,327
Football,C,141415,8550,0,3035,125,3756,0,2472,1588,2242,21.6,2.3,1.4,33.0,396.2,1125
5000 metres,C,41357,1081,0,488,60,521,0,216,151,148,146.39999999999998,2.1,0.2,5.0,59.7,267
Airsoft,C,46094,10737,0,6193,350,5583,0,2013,1415,1709,16.799999999999997,1.9,1.8,43.9,527.2,696
Bowling,C,67983,4684,0,2176,242,2453,0,1324,1076,1188,40.8,1.9,0.7,17.9,215.0,487
Artificial turf,C,68625,1573,0,481,84,766,0,379,191,187,103.19999999999999,2.1,0.3,7.1,84.7,328
Ancient Rome,C,222473,6723,0,1955,177,2612,0,1907,830,1186,24.0,2.6,1.2,29.1,349.3,862
Ancient history,C,75575,4581,0,1189,188,1654,0,1021,652,657,40.8,2.8,0.7,17.9,214.9,1556
Anger,C,122284,3505,0,1313,219,1948,0,963,606,681,52.800000000000004,1.8,0.6,14.0,168.0,429
Age of Discovery,C,222653,5021,0,1882,280,2149,0,1211,894,915,36.0,2.3,0.9,20.5,245.7,965
Anglo-Saxon art,C,50804,531,0,75,27,142,0,97,51,51,295.20000000000005,3.7,0.1,2.5,29.7,351
Augmented reality,C,178226,4404,0,1467,285,1923,0,1117,587,545,40.8,2.3,0.7,17.7,212.3,729
Artificial intelligence,C,195223,10947,0,3285,456,4705,0,3128,1941,2110,16.799999999999997,2.3,1.8,42.1,504.8,1986
Citation,C,40286,2023,0,776,147,1184,0,614,408,446,88.80000000000001,1.7,0.3,8.2,98.2,227
Denialism,C,73275,1304,0,242,83,511,0,267,186,188,110.39999999999999,2.6,0.3,6.5,78.6,325
Cognitive science,C,68789,1748,0,564,101,977,0,507,158,171,108.0,1.8,0.3,6.8,81.5,188
B minor,C,6099,593,0,306,18,351,0,104,48,57,266.4,1.7,0.1,2.7,32.9,108
Boogie,C,8251,290,0,92,26,197,0,95,67,53,532.8,1.5,0.1,1.4,16.5,70
Clef,C,31051,2273,0,956,107,1099,0,536,317,400,81.6,2.1,0.4,9.0,107.5,537
Harmony,C,39735,1162,0,437,90,674,0,369,188,188,160.8,1.7,0.2,4.6,54.6,186
Concert pitch,C,20247,300,0,84,21,169,0,64,32,27,576.0,1.8,0.1,1.3,15.2,102
Africa,C,178626,7932,0,1977,356,3478,0,2513,1347,1577,24.0,2.3,1.3,30.6,367.6,864
Arctic Ocean,C,65935,2203,0,755,245,1208,0,798,447,463,86.4,1.8,0.4,8.5,101.5,262
Asia,C,123668,8261,0,2661,432,3831,0,2583,1606,1792,24.0,2.2,1.3,31.0,371.9,640
Berlin Wall,C,150698,7896,0,3279,290,3957,0,2333,1496,1702,24.0,2.0,1.2,29.8,357.2,611
Beach,C,52971,3302,0,1293,219,1702,0,1038,775,862,55.199999999999996,1.9,0.5,13.0,155.7,450
Abacus,C,51280,3991,0,1754,230,2027,0,1197,863,976,48.0,2.0,0.6,15.4,184.9,441
Robot,C,150123,8975,0,3413,428,3960,0,2536,1649,1889,21.6,2.3,1.4,34.5,413.6,1323
Gyroscope,C,52124,1797,0,658,101,916,0,450,260,293,103.19999999999999,2.0,0.3,7.1,84.8,388
Airship,C,125647,3127,0,866,170,1423,0,945,326,294,57.599999999999994,2.2,0.5,12.4,149.1,678
Altimeter,C,23076,533,0,212,40,328,0,155,84,86,348.0,1.6,0.1,2.1,25.2,101
1 Day,Start,6763,122,0,37,15,79,0,37,28,12,955.1999999999999,1.5,0.0,0.8,9.2,39
3 Bad Men,Start,5059,111,0,5,16,59,0,38,13,2,1156.8000000000002,1.9,0.0,0.6,7.6,59
4 Clowns,Start,5940,69,0,2,17,39,0,26,21,2,1708.8000000000002,1.8,0.0,0.4,5.1,35
9 Bullets,Start,11425,32,0,1,5,7,0,13,0,0,100.80000000000001,4.6,0.3,7.3,32.0,27
30 Beats,Start,7225,71,0,11,9,49,0,18,22,2,1267.1999999999998,1.4,0.0,0.6,6.9,30
Ball python,Start,17675,2170,0,1007,128,1189,0,547,507,573,79.19999999999999,1.8,0.4,9.1,109.6,332
Alsodes,Start,4550,45,0,2,18,36,0,22,7,2,3069.6000000000004,1.3,0.0,0.2,2.9,18
Battle of the Frogs,Start,19335,85,0,16,4,31,0,11,9,4,619.2,2.7,0.0,1.2,14.1,61
